condition,rep,seed,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr,mi_thr,stab_window,t_cross,t_stab,dwell,n_innov,fitness_final,mi_final,delta_fitness,delta_mi,t_fit,lag_fit_minus_stab
TAC_s0.25,1,3189765839,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,27.0,0.795,15,32.6828125,0.33648680987514706,-0.96875,0.07713308049869844,,
TAC_s0.25,2,3189765840,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,16.0,0.84,14,35.125,0.34957195386026285,2.207812500000003,0.08223668689684316,,
TAC_s0.25,3,3189765841,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,122.0,0.71,24,33.46953125,0.33912212252628,0.3101562500000057,0.07397675199954706,,
TAC_s0.25,4,3189765842,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,10.0,0.7,19,33.63046875,0.3348973946782329,0.6968749999999986,0.07963167112256297,,
TAC_s0.25,5,3189765843,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,6.0,0.755,15,33.02265625,0.3188888549772105,0.45624999999999716,0.05622782247229147,,
TAC_s0.25,6,3189765844,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,7.0,30.0,0.72,18,33.31796875,0.3301837766273506,-0.234375,0.06874632067231418,,
TAC_s0.25,7,3189765845,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,8.0,0.715,23,33.671875,0.31096863350656195,0.6593749999999972,0.05071562478112307,,
TAC_s0.25,8,3189765846,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,8.0,100.0,0.725,22,33.46953125,0.32523759895382826,0.453125,0.05950412022344714,,
TAC_s0.25,9,3189765847,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,7.0,12.0,0.805,22,33.7421875,0.3397155680537773,0.8851562500000014,0.08080117999524211,,
TAC_s0.25,10,3189765848,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,9.0,0.775,24,32.71171875,0.32419143578128307,0.4984375000000014,0.06297739201746394,,
TAC_s0.25,11,3189765849,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,8.0,15.0,0.8,25,34.6265625,0.3278108468782922,2.21875,0.06545259041838825,,
TAC_s0.25,12,3189765850,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,5.0,0.775,17,33.5359375,0.3381948658056305,0.8734375000000014,0.07580688699107363,,
TAC_s0.25,13,3189765851,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,13.0,0.86,16,33.659375,0.3277080282181351,0.42578125,0.06382187286204039,,
TAC_s0.25,14,3189765852,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,103.0,0.755,16,33.32109375,0.37379531025163826,0.09687500000000426,0.11103796432134361,,
TAC_s0.25,15,3189765853,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,16.0,0.675,27,33.41171875,0.34581664571421344,0.21249999999999858,0.08984806478993368,,
TAC_s0.25,16,3189765854,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,17.0,0.835,16,33.4015625,0.3386066984000722,0.77734375,0.07210704452785,,
TAC_s0.25,17,3189765855,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,7.0,15.0,0.79,18,33.2140625,0.33347440984082355,-0.41484375000000284,0.07344807112055196,,
TAC_s0.25,18,3189765856,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,42.0,0.83,14,33.96953125,0.3653562830500251,1.2953125000000014,0.10409815993484639,,
TAC_s0.25,19,3189765857,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,178.0,0.68,30,33.50546875,0.33991210680024875,0.3570312499999986,0.08825992291202639,,
TAC_s0.25,20,3189765858,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,90.0,0.725,20,32.3046875,0.3276226478159071,-0.33281250000000284,0.06597273919473923,,
TAC_s0.25,21,3189765859,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,7.0,,0.75,28,33.50546875,0.3118879218560271,0.9554687500000014,0.0543559036980823,,
TAC_s0.25,22,3189765860,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,3.0,116.0,0.83,19,32.75703125,0.3245508330941884,0.04453124999999858,0.06264630598043597,,
TAC_s0.25,23,3189765861,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,10.0,0.805,22,33.03515625,0.31846175047864017,0.19062499999999716,0.06348613732506198,,
TAC_s0.25,24,3189765862,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,127.0,0.77,20,34.16875,0.32135452465251446,1.7117187500000028,0.06887535674671857,,
TAC_s0.25,25,3189765863,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,9.0,9.0,0.785,18,33.33359375,0.3227627680208651,0.5375000000000014,0.07123979679908288,,
TAC_s0.25,26,3189765864,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,83.0,0.865,13,33.6078125,0.3373552043160368,0.6148437499999986,0.08386061678956219,,
