condition,rep,seed,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr,mi_thr,stab_window,t_cross,t_stab,dwell,n_innov,fitness_final,mi_final,delta_fitness,delta_mi,t_fit,lag_fit_minus_stab
TAC_s1.0__p0.50,0,860764754,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.478125,0.49629694115058115,2.38671875,0.23984100635692046,24.0,21.0
TAC_s1.0__p0.50,1,860764755,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.75234375,0.48509055000870244,4.060937500000001,0.22619071254456297,33.0,30.0
TAC_s1.0__p0.50,2,860764756,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,37.59140625,0.5530288003242874,5.069531249999997,0.29411070904236003,21.0,18.0
TAC_s1.0__p0.50,3,860764757,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.81875,0.48594757176982406,4.13671875,0.2322095110440227,27.0,24.0
TAC_s1.0__p0.50,4,860764758,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.37890625,0.49458212897970255,3.453125,0.23559877016869157,37.0,34.0
TAC_s1.0__p0.50,5,860764759,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,34.88828125,0.49557350210000367,1.30859375,0.2313410551422445,69.0,66.0
TAC_s1.0__p0.50,6,860764760,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,38.04765625,0.5401478402363638,5.1953125,0.278013938406487,28.0,25.0
TAC_s1.0__p0.50,7,860764761,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,38.3484375,0.5573956094577862,5.6640625,0.2977189806997773,22.0,19.0
TAC_s1.0__p0.50,8,860764762,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,35.80703125,0.5222005364780787,2.1968749999999986,0.2675964661834751,49.0,45.0
TAC_s1.0__p0.50,9,860764763,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.740625,0.4933384488690296,3.625,0.23474505464940681,18.0,15.0
TAC_s1.0__p0.50,10,860764764,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.58046875,0.5236469931728295,4.521875000000001,0.2675960739832218,52.0,49.0
TAC_s1.0__p0.50,11,860764765,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.04375,0.48825608630906403,3.3203125,0.22792196053507707,149.0,146.0
TAC_s1.0__p0.50,12,860764766,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.25703125,0.5417817262845078,2.557812499999997,0.2799526135181003,21.0,18.0
TAC_s1.0__p0.50,13,860764767,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.07578125,0.5282391043462141,3.1023437499999957,0.26905398697755056,18.0,15.0
TAC_s1.0__p0.50,14,860764768,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,37.071875,0.49157012147897183,4.290624999999999,0.22902972156182033,21.0,18.0
TAC_s1.0__p0.50,15,860764769,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.38515625,0.5487144419076991,2.598437500000003,0.2871897693157124,28.0,25.0
TAC_s1.0__p0.50,16,860764770,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,34.89140625,0.5294645797264167,1.7804687500000043,0.273568772870211,20.0,17.0
TAC_s1.0__p0.50,17,860764771,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.859375,0.5186962716064154,4.228124999999999,0.2534727540133946,67.0,64.0
TAC_s1.0__p0.50,18,860764772,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,34.5203125,0.5356626630051013,1.9539062500000028,0.2723258001603216,23.0,20.0
TAC_s1.0__p0.50,19,860764773,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,2.0,2.0,0.99,1,38.21953125,0.5373545404146196,5.200781250000006,0.27836964571326633,33.0,31.0
TAC_s1.0__p0.50,20,860764774,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,2.0,2.0,0.99,1,35.9734375,0.4951011053408234,2.848437500000003,0.23849893339724804,54.0,52.0
TAC_s1.0__p0.50,21,860764775,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.76171875,0.46618287287677823,3.233593749999997,0.2095456098655578,28.0,25.0
TAC_s1.0__p0.50,22,860764776,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,36.5296875,0.5248194084144413,3.9906250000000014,0.2620936794035053,,
TAC_s1.0__p0.50,23,860764777,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,35.984375,0.493168791866451,2.850781249999997,0.23745130993998065,47.0,43.0
TAC_s1.0__p0.50,24,860764778,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,2.0,2.0,0.99,1,35.2109375,0.4598221389631749,2.4359375000000014,0.2057609831816305,26.0,24.0
TAC_s1.0__p0.50,25,860764779,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.865625,0.5152760134140937,3.035937500000003,0.2519969863911541,17.0,14.0
TAC_s1.0__p0.50,26,860764780,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,37.30703125,0.5055229973067555,4.82421875,0.24470103471060467,20.0,17.0
TAC_s1.0__p0.50,27,860764781,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,34.3703125,0.5166514302785299,1.8218749999999986,0.2595766332349775,42.0,39.0
TAC_s1.0__p0.50,28,860764782,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.028125,0.5377240539925869,1.6656250000000057,0.28275552182376495,37.0,34.0
TAC_s1.0__p0.50,29,860764783,0.5,TAC,1.0,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,37.15390625,0.525070575660247,4.178125000000001,0.26545560290745585,24.0,21.0
PB_c1.0__p0.50,0,1777518015,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,32.9625,0.2788075891978158,0.40546874999999716,0.02775322845144157,,
PB_c1.0__p0.50,1,1777518016,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,32.0703125,0.28588578476053966,-0.47265625,0.023137946718616298,,
PB_c1.0__p0.50,2,1777518017,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,33.3265625,0.27660029149490806,0.19609375000000284,0.0207916587671374,,
PB_c1.0__p0.50,3,1777518018,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,32.25703125,0.2764108787515329,-0.58203125,0.022467956863345795,,
PB_c1.0__p0.50,4,1777518019,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,33.2421875,0.29188083746406374,0.09296874999999716,0.034236558441505804,,
PB_c1.0__p0.50,5,1777518020,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,32.37109375,0.2894507663593302,-0.37968750000000284,0.029258333729995423,,
PB_c1.0__p0.50,6,1777518021,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,33.3390625,0.2851886919675165,0.24374999999999858,0.0261872950261276,,
PB_c1.0__p0.50,7,1777518022,0.5,PB,0.0,0.0,1.0,0.320527666086021,20,,,0.0,0,33.05390625,0.2919692090950103,0.6273437499999943,0.03416657528711503,,
